Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675628451.3055522,78,73251,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202051.000,19,T
1675628452.3041532,79,73252,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202052.000,19,T
1675628453.2861335,80,73253,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202053.000,19,T
1675628454.3060431,81,73254,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202054.000,19,T
1675628455.2852807,82,73255,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202055.000,19,T
1675628456.2852452,83,73256,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202056.000,19,T
1675628457.2830355,84,73257,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202057.000,19,T
1675628458.284877,85,73258,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202058.000,19,T
1675628459.2964115,86,73259,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202059.000,19,T
1675628460.286256,87,73260,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202100.000,19,T
1675628461.3055563,88,73261,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202101.000,19,T
1675628462.2958214,89,73262,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202102.000,19,T
1675628463.303316,90,73263,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202103.000,19,T
1675628464.2902367,91,73264,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202104.000,19,T
1675628465.304965,92,73265,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202105.000,19,T
1675628466.3042593,93,73266,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202106.000,19,T
1675628467.3071313,94,73267,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202107.000,19,T
1675628468.2828894,95,73268,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.2000000476837158,328285.53125,4689542.0,202108.000,19,T
1675628469.3049543,96,73269,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.2000000476837158,328285.53125,4689542.0,202109.000,19,T
1675628470.3022218,97,73270,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.2000000476837158,328285.53125,4689542.0,202110.000,19,T
1675628471.302522,98,73271,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.2000000476837158,328285.53125,4689542.0,202111.000,19,T
1675628472.2873535,99,73272,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.2000000476837158,328285.53125,4689542.0,202112.000,19,T
1675628473.3069415,100,73273,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202113.000,19,T
1675628474.294716,101,73274,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202114.000,19,T
1675628475.3046925,102,73275,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.600000381469727,1.0,328285.375,4689542.0,202115.000,19,T
1675628476.305206,103,73276,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.600000381469727,1.0,328285.375,4689542.0,202116.000,19,T
1675628477.3058853,104,73277,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.600000381469727,1.0,328285.375,4689542.0,202117.000,19,T
1675628478.305031,105,73278,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.600000381469727,1.0,328285.375,4689542.0,202118.000,19,T
1675628479.3099675,106,73279,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.600000381469727,1.0,328285.375,4689541.5,202119.000,19,T
1675628480.305872,107,73280,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.600000381469727,1.0,328285.375,4689541.5,202120.000,19,T
1675628481.3075802,108,73281,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.600000381469727,1.0,328285.375,4689541.5,202121.000,19,T
1675628482.3065598,109,73282,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.600000381469727,1.0,328285.375,4689541.5,202122.000,19,T
1675628483.28821,110,73283,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.600000381469727,1.0,328285.375,4689541.5,202123.000,19,T
1675628484.3072364,111,73284,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.600000381469727,1.0,328285.375,4689541.5,202124.000,19,T
1675628485.3005517,112,73285,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.600000381469727,1.0,328285.375,4689541.5,202125.000,19,T
1675628486.303861,113,73286,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.600000381469727,1.0,328285.375,4689541.5,202126.000,19,T
1675628487.2860968,114,73287,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.600000381469727,1.0,328285.375,4689541.5,202127.000,19,T
1675628488.3087878,115,73288,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202128.000,19,T
1675628489.3226697,116,73289,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202129.000,19,T
1675628490.3064206,117,73290,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202130.000,19,T
1675628491.308928,118,73291,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202131.000,19,T
1675628492.308045,119,73292,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202132.000,19,T
1675628493.3081589,120,73293,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202133.000,19,T
1675628494.3075747,121,73294,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202134.000,19,T
1675628495.3104317,122,73295,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202135.000,19,T
1675628496.3102753,123,73296,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202136.000,19,T
1675628497.3096354,124,73297,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202137.000,19,T
